(5,9)	0.463
(5,6)	0.455
(2,4)	0.434
(3,7)	0.423
(1,4)	0.413
(4,8)	0.397
(4,6)	0.396
(1,5)	0.388
(1,7)	0.379
(1,6)	0.375
(4,7)	0.374
(2,7)	0.369
(2,6)	0.365
(9,10)	0.356
(3,10)	0.355
(3,4)	0.351
(3,9)	0.348
(5,7)	0.343
(6,7)	0.338
(4,10)	0.331
(1,9)	0.329
(7,10)	0.326
(4,5)	0.318
(1,3)	0.317
(3,8)	0.315
(3,5)	0.314
(6,8)	0.313
(1,2)	0.297
(2,5)	0.297
(2,3)	0.293
(3,6)	0.292
(7,9)	0.292
(8,9)	0.291
(1,8)	0.278
(5,8)	0.275
(1,10)	0.270
(4,9)	0.269
(6,10)	0.264
(6,9)	0.252
(7,8)	0.243
(2,8)	0.225
(2,9)	0.224
(2,10)	0.220
(5,10)	0.214
(8,10)	0.204
