(3,4)	0.496
(1,5)	0.468
(1,10)	0.453
(4,8)	0.433
(6,7)	0.432
(5,9)	0.422
(3,6)	0.410
(3,10)	0.406
(2,3)	0.397
(5,7)	0.392
(2,8)	0.389
(9,10)	0.375
(2,6)	0.370
(4,7)	0.359
(1,4)	0.355
(5,6)	0.354
(1,7)	0.353
(4,10)	0.351
(3,9)	0.344
(4,5)	0.344
(3,8)	0.342
(1,8)	0.341
(7,10)	0.339
(2,5)	0.338
(3,7)	0.335
(5,10)	0.329
(2,9)	0.328
(8,9)	0.326
(1,9)	0.321
(6,10)	0.316
(4,6)	0.313
(5,8)	0.308
(6,8)	0.297
(3,5)	0.286
(2,7)	0.284
(1,6)	0.278
(6,9)	0.274
(2,4)	0.273
(8,10)	0.263
(1,3)	0.247
(2,10)	0.247
(4,9)	0.237
(7,9)	0.235
(1,2)	0.232
(7,8)	0.206
